MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,HouseAge,YearsSinceRemodel,GarageAge,IsRemodeled,LivArea_Qual,Bsmt_Qual,TotalSF,Qual_Cond,Age_Qual,TotalPorchSF,GrLivArea_sq,OverallQual_sq,TotalBsmtSF_sq,HouseAge_sq,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSeWa,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkFace,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_SBrkr,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_P,PavedDrive_Y,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
20,70.0,-0.30046335245754585,5,6,1957,1957,0.0,3,4,3,3,0,3,922,1,0,392,0.6977502427381274,3,0.49261906396086774,-0.8023101138139039,0,-0.37777864026835944,1,0,1,0,3,1,3,5,0,4,1957.0,1,-0.8490497390426875,3,3,1.2929224315523855,-0.7110027628414602,-0.3591657766194219,0,-0.27361834888243036,-0.05144993954945888,0,6,2010,0.5347119225548953,1.441866890205949,1.0028958973942592,0,-0.6462272473702241,-0.0091380845475915,0.14645509845812227,-0.426222658165027,0.39085818583120197,0,-0.4611135820875882,-0.8272840521382859,0.5427640937402708,0.17692852692074743,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
60,59.0,-0.47120457242171027,6,7,1993,1994,0.0,4,3,4,3,0,1,0,1,0,799,-0.6093467341742953,4,-0.9904236461740412,1.0253942304995423,0,0.18517396429403862,0,0,2,1,3,1,3,7,1,3,1993.0,2,-0.43087148532964786,3,3,-0.7401696032247256,-0.11857801458110628,-0.3591657766194219,0,-0.27361834888243036,-0.05144993954945888,0,5,2009,-0.6737405406465343,-0.3872343742890534,-0.5386802017590719,1,0.007116671078862412,-0.5073845516799795,-0.22235751825465366,0.9156860781397486,-0.6130341363201903,40,0.03338250691403601,-0.17006922070213956,-0.658536670751358,-0.6754598944433938,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
30,67.0,-0.1861304218598727,5,7,1910,1950,0.0,3,3,2,3,0,1,0,1,0,796,-0.6169608913213579,4,-0.9990627299223999,-0.8023101138139039,0,-1.512445757635372,0,0,1,0,2,1,3,4,0,4,1980.0,0,-2.278635862201219,3,3,1.9272471464028442,-0.7110027628414602,2.3519919610685465,0,-0.27361834888243036,-0.05144993954945888,0,5,2008,2.0044514048269044,1.6825381092184495,-0.03870957500664022,1,-1.238720506748072,-0.735747515782324,-1.3345133934582958,0.13290598196196282,1.7274012182812806,164,-1.1900608881682755,-0.8272840521382859,-0.6638190182700403,2.445623913982769,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
50,60.0,-0.664387799983296,5,7,1937,1950,252.0,3,3,4,3,0,5,569,1,0,162,-0.7819342961743821,5,-0.46631923210694715,1.0609066206092594,0,0.616697945223192,1,0,1,1,3,1,4,7,2,3,1939.0,1,-1.1116267820718055,3,3,-0.7401696032247256,-0.7110027628414602,4.0051369230734055,0,-0.27361834888243036,-0.05144993954945888,0,6,2007,1.0899468380798765,1.6344038654159494,1.627859180834799,1,-0.1269377883788283,-0.8269243749140955,-0.0379512098982657,0.13290598196196282,0.895774442534565,264,0.4720814271464947,-0.8272840521382859,-0.7733904713456532,0.8750656945950206,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
50,50.0,-1.3315826204471712,5,6,1924,1950,0.0,3,3,3,3,0,2,218,1,0,808,-0.033208843379887644,3,-0.33673297588156675,0.7720725143835594,0,0.448031211560528,0,0,2,0,3,1,4,6,1,4,1924.0,1,-0.7809742093684718,3,3,-0.7401696032247256,-0.7110027628414602,3.6414450314323363,0,-0.27361834888243036,-0.05144993954945888,0,5,2010,1.6125208762210352,1.7788065968234497,2.377815120963447,1,-0.21501111071877868,-0.41312170654682506,0.2736811561613667,-0.426222658165027,1.3709897429612594,242,0.2944477903521815,-0.8272840521382859,-0.20120239315426416,1.7084231171272952,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
20,70.0,0.12411516965582928,5,7,1972,1972,0.0,3,3,3,3,0,5,894,1,0,0,-0.3682317578506445,3,-0.7168526608093493,-0.8023101138139039,0,-1.2977790057010723,1,0,1,0,3,1,3,5,0,4,1975.0,2,0.4054850220964315,3,3,1.3417166403870362,-0.7110027628414602,-0.3591657766194219,0,-0.27361834888243036,-0.05144993954945888,0,7,2006,-0.08584474773773076,0.5273162579584478,0.08628308168146773,0,-1.1266271874063172,-0.5982808666298071,-1.0543301652578925,0.13290598196196282,-0.17345998342549784,0,-1.0796030089453406,-0.8272840521382859,-0.4809846617299867,-0.37497043920339107,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,122.0,0.7643189269282114,6,5,2005,2005,0.0,4,3,4,3,2,1,0,1,0,684,-0.9012227581450304,5,-1.3215885231944577,1.2716134685935814,0,0.16107871662794376,0,0,2,1,3,1,4,6,1,4,2005.0,2,-0.3336207286521968,3,3,0.07306721068611892,-0.14819925199412398,-0.3591657766194219,0,-0.27361834888243036,-0.05144993954945888,0,3,2009,-1.0656710692524034,-0.9167110561165541,-1.0386508285115037,0,-0.007981612750843367,-0.700960037221279,-0.40247530781205587,-0.426222658165027,-1.0407279067042154,38,0.010412576843289107,-0.17006922070213956,-0.8468079262526467,-0.755590415840728,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
50,40.0,-1.1993567378461487,4,8,1922,2007,0.0,3,4,3,3,0,4,735,1,0,61,-0.6169608913213579,4,-0.9990627299223999,0.045252263471346976,0,-0.728254969957012,1,0,1,0,3,1,4,7,0,4,1922.0,1,-1.1116267820718055,3,3,-0.7401696032247256,0.7108166329833893,-0.3591657766194219,0,-0.27361834888243036,-0.05144993954945888,0,5,2010,1.67784263098868,-0.9648452999190541,2.4611435587555186,1,-1.0932279534799982,-0.9590606846096782,-0.8227501501126611,-0.2025712021142311,0.9076548250452323,96,-0.7244731240967208,-1.3650052778587694,-0.6638190182700403,1.8246123731534296,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
20,78.0,0.8186043236841357,6,6,1981,1981,210.0,3,4,4,3,0,6,588,2,228,606,0.971859900032383,3,0.8036260789017806,-0.8023101138139039,0,-0.14120711772851902,0,0,2,0,3,1,4,7,1,3,1981.0,2,0.5221859301093729,3,3,1.5043640031692052,-0.7110027628414602,-0.3591657766194219,0,-0.27361834888243036,-0.05144993954945888,0,6,2008,-0.3144708894244877,0.19037655134094736,-0.0803737939026762,0,-0.19739644625078862,0.5412896004263642,0.4552284519850975,0.24473170998736077,-0.2209815134681673,0,-0.2640421063248385,-0.17006922070213956,0.8689647841478746,-0.517535991856148,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
20,76.0,-0.07058440977044704,8,5,2007,2007,140.0,4,3,4,3,2,1,0,1,0,1496,1.159675776326595,5,1.0167234780279617,-0.8023101138139039,0,0.02088818475248276,0,0,2,0,3,1,4,7,0,4,2007.0,2,0.02620707105437226,3,3,0.6260682441454932,1.2143776690046901,-0.3591657766194219,0,-0.27361834888243036,-0.05144993954945888,0,6,2007,-1.1963145787876932,-1.1092480313265543,-1.2053077040956477,0,0.5886293603987426,1.5052394095856465,0.6667953794017286,0.6920346220889526,-1.1832924968322238,130,-0.1200293616299539,1.502841259317142,1.1073405133859306,-0.7609324506005503,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
