Feature,Importance
LivArea_Qual,0.6204912634964691
Bsmt_Qual,0.09013052145043528
BsmtQual,0.04805031462586798
TotalSF,0.03556107085460491
OverallQual_sq,0.023693636280456523
BsmtFinSF1,0.01454115759606048
OverallQual,0.00954669850228822
HouseAge_sq,0.008766637798493536
YearBuilt,0.007878970770123823
GarageArea,0.0074673482767849695
LotArea,0.0066542804770150545
BsmtUnfSF,0.0066042562662152905
HouseAge,0.006511917855137933
Qual_Cond,0.0056297712090073926
YearRemodAdd,0.005535356534006643
Age_Qual,0.005222509690898551
YearsSinceRemodel,0.004682089954755561
1stFlrSF,0.004067497775467844
MSZoning_RM,0.0038065810273310114
WoodDeckSF,0.003806484803003571
Fireplaces,0.0035402651348605207
LotFrontage,0.0033337017127585806
ExterQual,0.0029477875230242575
TotalPorchSF,0.0029157904232525404
GarageFinish_Unf,0.002873407053569318
TotalBsmtSF_sq,0.0028485415850374586
TotalBsmtSF,0.0028408201609367027
KitchenQual,0.0027963316850675678
MasVnrArea,0.0027815127283224534
BsmtFinType1,0.0024453738389048204
MoSold,0.0023771074068034935
OpenPorchSF,0.002338947540324095
GarageYrBlt,0.0021971517914767423
GrLivArea,0.002172368419905712
GarageAge,0.002092145590029582
GrLivArea_sq,0.002017513874068026
BsmtExposure,0.0019368033906419083
OverallCond,0.00191934083249072
Neighborhood_OldTown,0.001864351048317516
MSSubClass,0.0017649578639302088
GarageCars,0.0017041451313846016
TotRmsAbvGrd,0.0016625289258446084
2ndFlrSF,0.0016107141609241682
CentralAir_Y,0.001403042452401528
YrSold,0.0011866288641758536
ScreenPorch,0.0010608242131396816
BsmtFullBath,0.0010436848506988926
Neighborhood_Crawfor,0.0007725583801461305
LotShape_Reg,0.000741456227875901
BedroomAbvGr,0.0007141784651151472
GarageType_Detchd,0.0006845959603292799
SaleCondition_Normal,0.0006557065133893527
HalfBath,0.0006275554863726939
HeatingQC,0.00056672366775035
FireplaceQu,0.0005579050015205747
HouseStyle_SLvl,0.0005512638783563835
Functional_Typ,0.0005203016052860508
MSZoning_RL,0.0005137964194539653
BsmtCond,0.00048749184129132897
GarageFinish_RFn,0.0004645260418269619
SaleType_New,0.00046040101655528165
EnclosedPorch,0.0004344653388550536
SaleType_WD,0.00041705910179296176
GarageType_Attchd,0.00041279988007937146
Exterior1st_MetalSd,0.0004106294210877131
FullBath,0.00040453661794186927
Neighborhood_NridgHt,0.00039740578515129265
LandContour_HLS,0.00038704163023608453
SaleCondition_Partial,0.00037582552476355074
ExterCond,0.0003120746126454173
BsmtFinSF2,0.00031066175924205475
IsRemodeled,0.00030885162813601723
3SsnPorch,0.00030316452809459033
RoofStyle_Gable,0.0002996052673114773
LotConfig_Inside,0.00029476540987206484
Neighborhood_StoneBr,0.0002891788561200709
LandContour_Lvl,0.0002766069641289949
Foundation_PConc,0.000267400993202953
PavedDrive_Y,0.000264634457999829
Neighborhood_CollgCr,0.00025670221822694247
SaleCondition_Family,0.0002564312963713471
LotConfig_CulDSac,0.00024243911653525757
RoofStyle_Hip,0.0002403649577521612
Exterior2nd_MetalSd,0.00023977683494614315
Exterior2nd_VinylSd,0.00021749272679536728
Exterior1st_Wd Sdng,0.0002081441082967813
BsmtFinType2,0.00020780326829120767
MasVnrType_Stone,0.00018912964902971993
Exterior2nd_Wd Sdng,0.00018241540120340853
Exterior1st_VinylSd,0.0001740778129116246
Condition1_Norm,0.00017389146314021758
Exterior1st_BrkFace,0.0001724089482623271
HouseStyle_2Story,0.0001643900466799089
Neighborhood_Somerst,0.0001517292313391469
Neighborhood_NAmes,0.00015042502236197166
LandSlope_Mod,0.00014686596141229907
MasVnrType_BrkFace,0.0001449631575944495
Exterior2nd_Plywood,0.00014076241038725668
Exterior1st_Plywood,0.0001351351594244866
Neighborhood_Edwards,0.00013223720545241344
